epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,4905.28,1.14139,1.24118,1.51811,0.02185,0.77493,0.74511,0.78694,0.56815,1.11904,1.16039,1.61483,0.02267,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,4993.42,1.14161,1.22602,1.51279,0.02312,0.79103,0.74299,0.7993,0.58823,1.08836,1.09416,1.59077,0.02344,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,5080.62,1.13919,1.22689,1.52054,0.02256,0.80326,0.75936,0.81339,0.60406,1.06423,1.05294,1.56283,0.02229,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,5167.78,1.13832,1.23044,1.51572,0.0227,0.79085,0.7353,0.7945,0.58374,1.09409,1.10661,1.58432,0.02412,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,5255.43,1.13867,1.23435,1.51877,0.02253,0.82946,0.75456,0.81833,0.60752,1.05952,1.04832,1.53939,0.02351,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,5341.17,1.13076,1.22453,1.50971,0.02245,0.77088,0.75097,0.79298,0.58023,1.09077,1.13262,1.57626,0.02355,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,5427.3,1.12148,1.18766,1.48976,0.0219,0.8239,0.7618,0.81973,0.60545,1.05087,1.03617,1.53105,0.02325,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,5512.53,1.12964,1.2002,1.51134,0.02192,0.82401,0.74992,0.81081,0.59147,1.07546,1.05712,1.57315,0.02301,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,5598.69,1.12433,1.20119,1.49786,0.02212,0.83736,0.73524,0.8142,0.6116,1.04349,1.01768,1.54765,0.02292,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,5685.09,1.13545,1.20612,1.50589,0.02229,0.82252,0.74758,0.82026,0.61103,1.05108,1.02154,1.53704,0.02236,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
